Word,Modality,Val
flowery,Sight,5.849807692
fluffy,Touch,5.941969697
foamy,Sight,5.396153846
foggy,Sight,5.673283582
forked,Sight,5.738125
fragrant,Smell,5.860545455
freezing,Touch,5.465164835
fresh,Smell,5.453644159
frosty,Sight,5.83578125
fruity,Taste,5.958382353
fuzzy,Sight,5.703173432
garlicky,Taste,5.971944444
gigantic,Sight,5.379981618
giggling,Sound,5.805238095
glamorous,Sight,5.867992126
gleaming,Sight,5.567815385
glistening,Sight,5.636195122
glittery,Sight,5.607974684
globular,Sight,5.597142857
glossy,Sight,5.69556213
glowing,Sight,5.707633588
gold,Sight,5.510550459
gooey,Touch,5.731956522
gorgeous,Sight,5.921105882
grainy,Touch,5.741573034
grassy,Sight,5.638606061
gray,Sight,5.377326944
greasy,Touch,5.462868852
green,Sight,5.522520516
gritty,Touch,5.712488889
groaning,Sound,5.3925
grotesque,Sight,5.153974359
growling,Sound,5.283823529
grubby,Sight,5.602173913
gurgling,Sound,5.121621622
hairy,Sight,5.195744681
handsome,Sight,5.71040153
happy,Sight,5.628561644
hard,Touch,5.441934884
harsh,Sound,5.249680171
hazy,Sight,5.745
heavy,Touch,5.205227119
high,Sight,5.436636829
hissing,Sound,5.35704918
hoarse,Sound,5.390217391
hollow,Sight,5.444704433
honeyed,Taste,5.940416667
hot,Touch,5.528398719
howling,Sound,4.933522727
huge,Sight,5.262619254
humid,Touch,5.586162791
hushed,Sound,5.672018349
husky,Sound,5.609876543
icy,Sight,5.434382022
immense,Sight,5.405320122
insipid,Sight,6.155227273
itchy,Touch,5.224848485
jagged,Touch,5.306728972
jammy,Taste,5.517142857
jingling,Sound,5.798
juicy,Taste,5.674646465
khaki,Sight,5.744918033
large,Sight,5.371699427
laughing,Sound,5.542653061
leathery,Touch,5.649411765
lemony,Taste,6.201777778
light,Sight,5.461285831
lilting,Sight,6.17125
lithe,Sight,5.680909091
little,Sight,5.248460458
long,Sight,5.283406473
loose,Sight,5.419716088
loud,Sound,5.208567639
low,Sight,5.38074108
lukewarm,Touch,6.003924051
lumpy,Touch,5.75376
lush,Sight,5.970545455
malty,Taste,5.87
meaty,Taste,5.502743363
medicinal,Sight,5.528715596
mellow,Sight,5.997295082
melodious,Sound,5.941627907
melted,Sight,5.526966292
meowing,Sound,5.53
mild,Taste,4.81497553
miniature,Sight,5.61950783
minty,Taste,6.074827586
misty,Sight,5.768053691
moaning,Sound,5.2115
moist,Touch,5.59518018
motionless,Sight,5.533119266
mottled,Sight,5.611685393
muddy,Sight,5.317741935
muffled,Sound,5.111319444
muggy,Sight,6.271428571
mumbling,Sound,5.153846154
murky,Sight,5.51844898
murmuring,Sound,5.677307692
mushroomy,Taste,5.5
mushy,Touch,5.556268657
musky,Smell,5.776756757
musty,Smell,5.468288288
mute,Sound,5.380520231
muttering,Sound,6.056666667
narrow,Sight,5.395671141
noisy,Sound,5.364528302
noxious,Smell,4.849032258
nutty,Taste,6.013333333
odorous,Smell,5.362857143
oily,Sight,5.468781726
oniony,Taste,5.8725
open,Sight,5.32737931
orange,Sight,5.591410959
oval,Sight,5.605567568
painful,Touch,5.002169391
palatable,Taste,5.721764706
pale,Sight,5.593280632
patterned,Sight,5.686810345
peachy,Taste,6.249565217
peppery,Taste,5.613488372
perfumed,Smell,5.936666667
petite,Sight,5.988045977
pink,Sight,5.613787529
plain,Sight,5.499516729
polished,Sight,5.67347541
popping,Sound,5.0285
portly,Sight,5.631935484
prickly,Touch,5.739300699
puffy,Sight,5.876375
pulsing,Touch,5.612375
pungent,Smell,5.657480916
puny,Sight,5.683370787
purple,Sight,5.5071777
purring,Sound,5.850555556
putrid,Smell,5.175081967
quiet,Sound,5.609460133
radiant,Sight,6.145970874
rancid,Smell,5.129649123
raspy,Sound,5.282380952
raucous,Sound,5.646625
rectangular,Sight,5.426
red,Sight,5.414637416
reddish,Sight,5.48795082
reeking,Smell,4.63047619
resounding,Sound,5.319145299
reverberating,Sound,5.211578947
rhythmic,Sound,5.621275168
ripe,Taste,5.779674797
rippled,Sight,5.636756757
rippling,Sight,5.553186813
roasted,Taste,5.898198198
roasting,Sight,5.4925
rotten,Sight,5.583674912
rotund,Sight,5.673243243
rough,Touch,5.512853224
round,Sight,5.523026052
rubbery,Touch,5.532705882
rumbling,Sound,5.144545455
rustling,Sound,5.909444444
rusty,Sight,5.322663934
salty,Taste,5.693988764
savory,Taste,5.915
scaly,Touch,5.411454545
scented,Smell,5.828333333
scentless,Smell,5.755
scratchy,Touch,5.722638889
scrawny,Sight,5.616933333
screaming,Sound,5.282484472
screeching,Sound,5.503548387
searing,Sight,5.215639535
shadowy,Sight,5.466477273
shaggy,Sight,5.620693069
shallow,Sight,5.515985222
sharp,Touch,5.202479241
sheer,Sight,5.299710366
shimmering,Sight,5.891686747
shiny,Sight,5.413979058
short,Sight,5.433436929
shrieking,Sound,5.240377358
shrill,Sound,5.087352941
silent,Sound,5.331201672
silky,Touch,5.740194805
silver,Sight,5.784931507
skinny,Sight,5.533890909
slick,Sight,5.504644068
slimy,Touch,5.19446281
slippery,Touch,5.446836364
slushy,Sight,5.309310345
small,Sight,5.314277127
smelly,Smell,5.176338028
smoky,Smell,5.538823529
smooth,Touch,5.540558003
snarling,Sound,5.163188406
snorting,Sound,5.395
soapy,Sight,5.916444444
sodden,Sight,5.409310345
soft,Touch,5.454473925
soggy,Touch,5.44441989
solid,Touch,5.527763272
sonorous,Sound,5.874878049
sore,Touch,5.056132075
soundless,Sound,5.229795918
sour,Taste,5.491092437
sparkly,Sight,5.738867925
speckled,Sight,5.589193548
spicy,Taste,5.843225806
spiky,Touch,5.707368421
spilling,Sight,5.7
spotless,Sight,5.9184
spotted,Sight,5.405044248
square,Sight,5.54826087
squeaking,Sound,5.32
squealing,Sound,5.372142857
stagnant,Sight,5.371034483
stale,Taste,5.518959538
steep,Sight,5.228913043
stenchy,Smell,5.62
sticky,Touch,5.337
stinging,Touch,4.847368421
stinky,Smell,5.485862069
stormy,Sight,5.501052632
straight,Sight,5.43860735
strange,Sight,5.480895296
striped,Sight,5.579267016
strong,Sight,5.430486233
sturdy,Touch,5.644059946
sunny,Sight,5.931320132
sweaty,Smell,5.453203883
sweet,Taste,5.681452671
swift,Sight,5.248944282
swinging,Sight,5.463868613
tall,Sight,5.5425
tangerine,Sight,5.902564103
tangy,Taste,5.876625
tapering,Sight,5.485172414
tart,Taste,5.990337079
tasteless,Taste,5.661060606
tasty,Taste,5.894336735
tender,Touch,5.712243437
tepid,Touch,5.940707071
thorny,Touch,5.458902439
thudding,Sound,4.881333333
thumping,Sound,5.002413793
thunderous,Sound,5.203923077
ticklish,Touch,5.367419355
tight,Touch,5.378703704
tinkling,Sound,6.292962963
tiny,Sight,5.37049417
tough,Touch,5.355045872
translucent,Sight,5.597755102
transparent,Sight,5.49226506
triangular,Sight,5.473554502
ugly,Sight,5.146509972
uneven,Sight,5.636811594
unpalatable,Taste,5.535185185
unripe,Sight,6.737
vegetal,Sight,5.915652174
vinegary,Taste,6.248095238
vivid,Sight,5.823141892
wailing,Sound,5.548043478
warbling,Sound,5.17
warm,Touch,5.774844398
waxy,Touch,5.73527027
weak,Sight,5.453759178
weightless,Touch,5.756875
wet,Touch,5.415122898
whimpering,Sound,4.9045
whining,Sound,5.29097561
whispering,Sound,5.8955
whistling,Sound,5.827142857
white,Sight,5.353693765
wide,Sight,5.450415677
wiry,Sight,5.665333333
wispy,Sight,5.67872093
wizened,Sight,5.733333333
woolly,Touch,5.503770492
yellow,Sight,5.451604376
