Angle,UglyCat,ID
FromBelow,ugly,ppt_10
FromBelow,ugly,ppt_10
Level,not_ugly,ppt_10
Level,not_ugly,ppt_10
FromBelow,ugly,ppt_10
FromBelow,ugly,ppt_10
Level,not_ugly,ppt_10
Level,not_ugly,ppt_10
FromBelow,ugly,ppt_10
FromBelow,ugly,ppt_10
Level,ugly,ppt_10
Level,ugly,ppt_10
Level,ugly,ppt_10
Level,ugly,ppt_10
FromBelow,ugly,ppt_10
FromBelow,ugly,ppt_10
FromBelow,ugly,ppt_11
FromBelow,not_ugly,ppt_11
Level,ugly,ppt_11
Level,ugly,ppt_11
FromBelow,ugly,ppt_11
FromBelow,ugly,ppt_11
Level,ugly,ppt_11
Level,not_ugly,ppt_11
FromBelow,not_ugly,ppt_11
FromBelow,not_ugly,ppt_11
Level,not_ugly,ppt_11
Level,not_ugly,ppt_11
Level,not_ugly,ppt_11
Level,not_ugly,ppt_11
FromBelow,ugly,ppt_11
FromBelow,not_ugly,ppt_11
FromBelow,not_ugly,ppt_12
FromBelow,not_ugly,ppt_12
Level,not_ugly,ppt_12
Level,not_ugly,ppt_12
FromBelow,not_ugly,ppt_12
FromBelow,not_ugly,ppt_12
Level,not_ugly,ppt_12
Level,not_ugly,ppt_12
FromBelow,not_ugly,ppt_12
FromBelow,not_ugly,ppt_12
Level,not_ugly,ppt_12
Level,not_ugly,ppt_12
Level,not_ugly,ppt_12
Level,not_ugly,ppt_12
FromBelow,not_ugly,ppt_12
FromBelow,not_ugly,ppt_12
FromBelow,not_ugly,ppt_13
FromBelow,not_ugly,ppt_13
Level,not_ugly,ppt_13
Level,not_ugly,ppt_13
FromBelow,not_ugly,ppt_13
FromBelow,not_ugly,ppt_13
Level,not_ugly,ppt_13
Level,not_ugly,ppt_13
FromBelow,not_ugly,ppt_13
FromBelow,not_ugly,ppt_13
Level,not_ugly,ppt_13
Level,not_ugly,ppt_13
Level,not_ugly,ppt_13
Level,not_ugly,ppt_13
FromBelow,not_ugly,ppt_13
FromBelow,not_ugly,ppt_13
FromBelow,ugly,ppt_14
FromBelow,ugly,ppt_14
Level,not_ugly,ppt_14
Level,not_ugly,ppt_14
FromBelow,ugly,ppt_14
FromBelow,not_ugly,ppt_14
Level,not_ugly,ppt_14
Level,not_ugly,ppt_14
FromBelow,ugly,ppt_14
FromBelow,not_ugly,ppt_14
Level,ugly,ppt_14
Level,not_ugly,ppt_14
Level,ugly,ppt_14
Level,not_ugly,ppt_14
FromBelow,not_ugly,ppt_14
FromBelow,ugly,ppt_14
FromBelow,ugly,ppt_15
FromBelow,ugly,ppt_15
Level,ugly,ppt_15
Level,ugly,ppt_15
FromBelow,not_ugly,ppt_15
FromBelow,ugly,ppt_15
Level,not_ugly,ppt_15
Level,not_ugly,ppt_15
FromBelow,ugly,ppt_15
FromBelow,ugly,ppt_15
Level,ugly,ppt_15
Level,ugly,ppt_15
Level,ugly,ppt_15
Level,ugly,ppt_15
FromBelow,ugly,ppt_15
FromBelow,ugly,ppt_15
FromBelow,not_ugly,ppt_16
FromBelow,ugly,ppt_16
Level,not_ugly,ppt_16
Level,not_ugly,ppt_16
FromBelow,not_ugly,ppt_16
FromBelow,ugly,ppt_16
Level,ugly,ppt_16
Level,ugly,ppt_16
FromBelow,ugly,ppt_16
FromBelow,ugly,ppt_16
Level,ugly,ppt_16
Level,ugly,ppt_16
Level,not_ugly,ppt_16
Level,not_ugly,ppt_16
FromBelow,ugly,ppt_16
FromBelow,not_ugly,ppt_16
FromBelow,ugly,ppt_17
FromBelow,ugly,ppt_17
Level,not_ugly,ppt_17
Level,not_ugly,ppt_17
FromBelow,ugly,ppt_17
FromBelow,ugly,ppt_17
Level,not_ugly,ppt_17
Level,not_ugly,ppt_17
FromBelow,ugly,ppt_17
FromBelow,ugly,ppt_17
Level,not_ugly,ppt_17
Level,not_ugly,ppt_17
Level,ugly,ppt_17
Level,not_ugly,ppt_17
FromBelow,not_ugly,ppt_17
FromBelow,ugly,ppt_17
FromBelow,ugly,ppt_18
FromBelow,ugly,ppt_18
Level,ugly,ppt_18
Level,ugly,ppt_18
FromBelow,not_ugly,ppt_18
FromBelow,not_ugly,ppt_18
Level,not_ugly,ppt_18
Level,not_ugly,ppt_18
FromBelow,ugly,ppt_18
FromBelow,ugly,ppt_18
Level,ugly,ppt_18
Level,ugly,ppt_18
Level,ugly,ppt_18
Level,not_ugly,ppt_18
FromBelow,ugly,ppt_18
FromBelow,ugly,ppt_18
FromBelow,ugly,ppt_19
FromBelow,ugly,ppt_19
Level,not_ugly,ppt_19
Level,not_ugly,ppt_19
FromBelow,not_ugly,ppt_19
FromBelow,not_ugly,ppt_19
Level,not_ugly,ppt_19
Level,not_ugly,ppt_19
FromBelow,not_ugly,ppt_19
FromBelow,not_ugly,ppt_19
Level,not_ugly,ppt_19
Level,not_ugly,ppt_19
Level,not_ugly,ppt_19
Level,not_ugly,ppt_19
FromBelow,not_ugly,ppt_19
FromBelow,not_ugly,ppt_19
FromBelow,ugly,ppt_20
FromBelow,ugly,ppt_20
Level,not_ugly,ppt_20
Level,ugly,ppt_20
FromBelow,ugly,ppt_20
FromBelow,ugly,ppt_20
Level,not_ugly,ppt_20
Level,not_ugly,ppt_20
FromBelow,ugly,ppt_20
FromBelow,ugly,ppt_20
Level,ugly,ppt_20
Level,not_ugly,ppt_20
Level,not_ugly,ppt_20
Level,not_ugly,ppt_20
FromBelow,ugly,ppt_20
FromBelow,ugly,ppt_20
FromBelow,ugly,ppt_21
FromBelow,ugly,ppt_21
Level,ugly,ppt_21
Level,ugly,ppt_21
FromBelow,ugly,ppt_21
FromBelow,ugly,ppt_21
Level,not_ugly,ppt_21
Level,ugly,ppt_21
FromBelow,ugly,ppt_21
FromBelow,ugly,ppt_21
Level,not_ugly,ppt_21
Level,ugly,ppt_21
Level,ugly,ppt_21
Level,not_ugly,ppt_21
FromBelow,ugly,ppt_21
FromBelow,not_ugly,ppt_21
FromBelow,ugly,ppt_22
FromBelow,ugly,ppt_22
Level,ugly,ppt_22
Level,ugly,ppt_22
FromBelow,ugly,ppt_22
FromBelow,ugly,ppt_22
Level,not_ugly,ppt_22
Level,ugly,ppt_22
FromBelow,ugly,ppt_22
FromBelow,ugly,ppt_22
Level,ugly,ppt_22
Level,ugly,ppt_22
Level,ugly,ppt_22
Level,ugly,ppt_22
FromBelow,ugly,ppt_22
FromBelow,ugly,ppt_22
FromBelow,ugly,ppt_23
FromBelow,not_ugly,ppt_23
Level,ugly,ppt_23
Level,not_ugly,ppt_23
FromBelow,ugly,ppt_23
FromBelow,not_ugly,ppt_23
Level,not_ugly,ppt_23
Level,not_ugly,ppt_23
FromBelow,ugly,ppt_23
FromBelow,ugly,ppt_23
Level,ugly,ppt_23
Level,ugly,ppt_23
Level,ugly,ppt_23
Level,not_ugly,ppt_23
FromBelow,ugly,ppt_23
FromBelow,ugly,ppt_23
FromBelow,not_ugly,ppt_24
FromBelow,ugly,ppt_24
Level,ugly,ppt_24
Level,not_ugly,ppt_24
FromBelow,ugly,ppt_24
FromBelow,ugly,ppt_24
Level,ugly,ppt_24
Level,ugly,ppt_24
FromBelow,ugly,ppt_24
FromBelow,not_ugly,ppt_24
Level,ugly,ppt_24
Level,ugly,ppt_24
Level,not_ugly,ppt_24
Level,ugly,ppt_24
FromBelow,ugly,ppt_24
FromBelow,not_ugly,ppt_24
FromBelow,ugly,ppt_25
FromBelow,ugly,ppt_25
Level,not_ugly,ppt_25
Level,not_ugly,ppt_25
FromBelow,ugly,ppt_25
FromBelow,ugly,ppt_25
Level,not_ugly,ppt_25
Level,not_ugly,ppt_25
FromBelow,ugly,ppt_25
FromBelow,ugly,ppt_25
Level,not_ugly,ppt_25
Level,not_ugly,ppt_25
Level,not_ugly,ppt_25
Level,not_ugly,ppt_25
FromBelow,ugly,ppt_25
FromBelow,ugly,ppt_25
FromBelow,not_ugly,ppt_26
FromBelow,not_ugly,ppt_26
Level,ugly,ppt_26
Level,ugly,ppt_26
FromBelow,ugly,ppt_26
FromBelow,ugly,ppt_26
Level,ugly,ppt_26
Level,not_ugly,ppt_26
FromBelow,ugly,ppt_26
FromBelow,ugly,ppt_26
Level,ugly,ppt_26
Level,ugly,ppt_26
Level,ugly,ppt_26
Level,ugly,ppt_26
FromBelow,not_ugly,ppt_26
FromBelow,ugly,ppt_26
FromBelow,ugly,ppt_27
FromBelow,ugly,ppt_27
Level,ugly,ppt_27
Level,ugly,ppt_27
FromBelow,ugly,ppt_27
FromBelow,ugly,ppt_27
Level,ugly,ppt_27
Level,not_ugly,ppt_27
FromBelow,ugly,ppt_27
FromBelow,ugly,ppt_27
Level,ugly,ppt_27
Level,ugly,ppt_27
Level,ugly,ppt_27
Level,ugly,ppt_27
FromBelow,ugly,ppt_27
FromBelow,ugly,ppt_27
FromBelow,ugly,ppt_28
FromBelow,not_ugly,ppt_28
Level,ugly,ppt_28
Level,ugly,ppt_28
FromBelow,ugly,ppt_28
FromBelow,ugly,ppt_28
Level,ugly,ppt_28
Level,not_ugly,ppt_28
FromBelow,ugly,ppt_28
FromBelow,ugly,ppt_28
Level,ugly,ppt_28
Level,ugly,ppt_28
Level,ugly,ppt_28
Level,ugly,ppt_28
FromBelow,ugly,ppt_28
FromBelow,ugly,ppt_28
FromBelow,ugly,ppt_29
FromBelow,ugly,ppt_29
Level,ugly,ppt_29
Level,ugly,ppt_29
FromBelow,not_ugly,ppt_29
FromBelow,ugly,ppt_29
Level,not_ugly,ppt_29
Level,not_ugly,ppt_29
FromBelow,not_ugly,ppt_29
FromBelow,not_ugly,ppt_29
Level,ugly,ppt_29
Level,not_ugly,ppt_29
Level,not_ugly,ppt_29
Level,not_ugly,ppt_29
FromBelow,not_ugly,ppt_29
FromBelow,not_ugly,ppt_29
FromBelow,ugly,ppt_30
FromBelow,ugly,ppt_30
Level,not_ugly,ppt_30
Level,not_ugly,ppt_30
FromBelow,not_ugly,ppt_30
FromBelow,not_ugly,ppt_30
Level,not_ugly,ppt_30
Level,not_ugly,ppt_30
FromBelow,not_ugly,ppt_30
FromBelow,ugly,ppt_30
Level,not_ugly,ppt_30
Level,not_ugly,ppt_30
Level,not_ugly,ppt_30
Level,ugly,ppt_30
FromBelow,not_ugly,ppt_30
FromBelow,not_ugly,ppt_30
FromBelow,ugly,ppt_31
FromBelow,ugly,ppt_31
Level,ugly,ppt_31
Level,ugly,ppt_31
FromBelow,ugly,ppt_31
FromBelow,ugly,ppt_31
Level,ugly,ppt_31
Level,ugly,ppt_31
FromBelow,ugly,ppt_31
FromBelow,ugly,ppt_31
Level,ugly,ppt_31
Level,ugly,ppt_31
Level,ugly,ppt_31
Level,ugly,ppt_31
FromBelow,ugly,ppt_31
FromBelow,ugly,ppt_31
FromBelow,not_ugly,ppt_32
FromBelow,not_ugly,ppt_32
Level,not_ugly,ppt_32
Level,not_ugly,ppt_32
FromBelow,not_ugly,ppt_32
FromBelow,not_ugly,ppt_32
Level,not_ugly,ppt_32
Level,not_ugly,ppt_32
FromBelow,ugly,ppt_32
FromBelow,ugly,ppt_32
Level,ugly,ppt_32
Level,not_ugly,ppt_32
Level,ugly,ppt_32
Level,ugly,ppt_32
FromBelow,ugly,ppt_32
FromBelow,ugly,ppt_32
FromBelow,ugly,ppt_33
FromBelow,ugly,ppt_33
Level,ugly,ppt_33
Level,ugly,ppt_33
FromBelow,not_ugly,ppt_33
FromBelow,not_ugly,ppt_33
Level,not_ugly,ppt_33
Level,not_ugly,ppt_33
FromBelow,not_ugly,ppt_33
FromBelow,not_ugly,ppt_33
Level,not_ugly,ppt_33
Level,not_ugly,ppt_33
Level,not_ugly,ppt_33
Level,not_ugly,ppt_33
FromBelow,not_ugly,ppt_33
FromBelow,not_ugly,ppt_33
FromBelow,not_ugly,ppt_34
FromBelow,ugly,ppt_34
Level,not_ugly,ppt_34
Level,not_ugly,ppt_34
FromBelow,not_ugly,ppt_34
FromBelow,not_ugly,ppt_34
Level,not_ugly,ppt_34
Level,not_ugly,ppt_34
FromBelow,not_ugly,ppt_34
FromBelow,not_ugly,ppt_34
Level,not_ugly,ppt_34
Level,not_ugly,ppt_34
Level,not_ugly,ppt_34
Level,not_ugly,ppt_34
FromBelow,not_ugly,ppt_34
FromBelow,not_ugly,ppt_34
FromBelow,ugly,ppt_35
FromBelow,ugly,ppt_35
Level,not_ugly,ppt_35
Level,not_ugly,ppt_35
FromBelow,not_ugly,ppt_35
FromBelow,ugly,ppt_35
Level,not_ugly,ppt_35
Level,not_ugly,ppt_35
FromBelow,ugly,ppt_35
FromBelow,ugly,ppt_35
Level,not_ugly,ppt_35
Level,not_ugly,ppt_35
Level,not_ugly,ppt_35
Level,not_ugly,ppt_35
FromBelow,ugly,ppt_35
FromBelow,ugly,ppt_35
FromBelow,not_ugly,ppt_36
FromBelow,not_ugly,ppt_36
Level,not_ugly,ppt_36
Level,not_ugly,ppt_36
FromBelow,not_ugly,ppt_36
FromBelow,not_ugly,ppt_36
Level,not_ugly,ppt_36
Level,not_ugly,ppt_36
FromBelow,not_ugly,ppt_36
FromBelow,not_ugly,ppt_36
Level,ugly,ppt_36
Level,not_ugly,ppt_36
Level,not_ugly,ppt_36
Level,not_ugly,ppt_36
FromBelow,not_ugly,ppt_36
FromBelow,not_ugly,ppt_36
FromBelow,ugly,ppt_37
FromBelow,not_ugly,ppt_37
Level,not_ugly,ppt_37
Level,not_ugly,ppt_37
FromBelow,not_ugly,ppt_37
FromBelow,not_ugly,ppt_37
Level,not_ugly,ppt_37
Level,not_ugly,ppt_37
FromBelow,not_ugly,ppt_37
FromBelow,ugly,ppt_37
Level,not_ugly,ppt_37
Level,not_ugly,ppt_37
Level,ugly,ppt_37
Level,not_ugly,ppt_37
FromBelow,not_ugly,ppt_37
FromBelow,not_ugly,ppt_37
FromBelow,not_ugly,ppt_38
FromBelow,ugly,ppt_38
Level,ugly,ppt_38
Level,ugly,ppt_38
FromBelow,not_ugly,ppt_38
FromBelow,ugly,ppt_38
Level,ugly,ppt_38
Level,not_ugly,ppt_38
FromBelow,ugly,ppt_38
FromBelow,ugly,ppt_38
Level,ugly,ppt_38
Level,ugly,ppt_38
Level,ugly,ppt_38
Level,ugly,ppt_38
FromBelow,ugly,ppt_38
FromBelow,ugly,ppt_38
FromBelow,ugly,ppt_39
FromBelow,ugly,ppt_39
Level,not_ugly,ppt_39
Level,ugly,ppt_39
FromBelow,ugly,ppt_39
FromBelow,ugly,ppt_39
Level,not_ugly,ppt_39
Level,not_ugly,ppt_39
FromBelow,ugly,ppt_39
FromBelow,ugly,ppt_39
Level,not_ugly,ppt_39
Level,ugly,ppt_39
Level,ugly,ppt_39
Level,not_ugly,ppt_39
FromBelow,ugly,ppt_39
FromBelow,ugly,ppt_39
FromBelow,ugly,ppt_40
FromBelow,ugly,ppt_40
Level,ugly,ppt_40
Level,ugly,ppt_40
FromBelow,ugly,ppt_40
FromBelow,ugly,ppt_40
Level,not_ugly,ppt_40
Level,ugly,ppt_40
FromBelow,ugly,ppt_40
FromBelow,ugly,ppt_40
Level,ugly,ppt_40
Level,ugly,ppt_40
Level,ugly,ppt_40
Level,not_ugly,ppt_40
FromBelow,ugly,ppt_40
FromBelow,ugly,ppt_40
FromBelow,not_ugly,ppt_41
FromBelow,not_ugly,ppt_41
Level,not_ugly,ppt_41
Level,not_ugly,ppt_41
FromBelow,not_ugly,ppt_41
FromBelow,not_ugly,ppt_41
Level,not_ugly,ppt_41
Level,not_ugly,ppt_41
FromBelow,not_ugly,ppt_41
FromBelow,ugly,ppt_41
Level,not_ugly,ppt_41
Level,not_ugly,ppt_41
Level,not_ugly,ppt_41
Level,not_ugly,ppt_41
FromBelow,not_ugly,ppt_41
FromBelow,not_ugly,ppt_41
FromBelow,ugly,ppt_42
FromBelow,ugly,ppt_42
Level,ugly,ppt_42
Level,ugly,ppt_42
FromBelow,ugly,ppt_42
FromBelow,ugly,ppt_42
Level,ugly,ppt_42
Level,ugly,ppt_42
FromBelow,ugly,ppt_42
FromBelow,ugly,ppt_42
Level,ugly,ppt_42
Level,ugly,ppt_42
Level,ugly,ppt_42
Level,ugly,ppt_42
FromBelow,ugly,ppt_42
FromBelow,ugly,ppt_42
FromBelow,ugly,ppt_43
FromBelow,ugly,ppt_43
Level,ugly,ppt_43
Level,not_ugly,ppt_43
FromBelow,not_ugly,ppt_43
FromBelow,not_ugly,ppt_43
Level,not_ugly,ppt_43
Level,ugly,ppt_43
FromBelow,ugly,ppt_43
FromBelow,ugly,ppt_43
Level,not_ugly,ppt_43
Level,not_ugly,ppt_43
Level,ugly,ppt_43
Level,not_ugly,ppt_43
FromBelow,ugly,ppt_43
FromBelow,ugly,ppt_43
FromBelow,not_ugly,ppt_44
FromBelow,not_ugly,ppt_44
Level,not_ugly,ppt_44
Level,not_ugly,ppt_44
FromBelow,not_ugly,ppt_44
FromBelow,not_ugly,ppt_44
Level,not_ugly,ppt_44
Level,not_ugly,ppt_44
FromBelow,ugly,ppt_44
FromBelow,ugly,ppt_44
Level,ugly,ppt_44
Level,ugly,ppt_44
Level,ugly,ppt_44
Level,ugly,ppt_44
FromBelow,ugly,ppt_44
FromBelow,ugly,ppt_44
FromBelow,ugly,ppt_45
FromBelow,ugly,ppt_45
Level,ugly,ppt_45
Level,ugly,ppt_45
FromBelow,ugly,ppt_45
FromBelow,ugly,ppt_45
Level,not_ugly,ppt_45
Level,not_ugly,ppt_45
FromBelow,not_ugly,ppt_45
FromBelow,not_ugly,ppt_45
Level,not_ugly,ppt_45
Level,not_ugly,ppt_45
Level,ugly,ppt_45
Level,not_ugly,ppt_45
FromBelow,not_ugly,ppt_45
FromBelow,not_ugly,ppt_45
FromBelow,ugly,ppt_46
FromBelow,ugly,ppt_46
Level,ugly,ppt_46
Level,not_ugly,ppt_46
FromBelow,not_ugly,ppt_46
FromBelow,not_ugly,ppt_46
Level,not_ugly,ppt_46
Level,not_ugly,ppt_46
FromBelow,ugly,ppt_46
FromBelow,ugly,ppt_46
Level,ugly,ppt_46
Level,ugly,ppt_46
Level,ugly,ppt_46
Level,ugly,ppt_46
FromBelow,ugly,ppt_46
FromBelow,ugly,ppt_46
FromBelow,not_ugly,ppt_47
FromBelow,not_ugly,ppt_47
Level,ugly,ppt_47
Level,not_ugly,ppt_47
FromBelow,not_ugly,ppt_47
FromBelow,ugly,ppt_47
Level,not_ugly,ppt_47
Level,not_ugly,ppt_47
FromBelow,ugly,ppt_47
FromBelow,ugly,ppt_47
Level,ugly,ppt_47
Level,not_ugly,ppt_47
Level,ugly,ppt_47
Level,ugly,ppt_47
FromBelow,not_ugly,ppt_47
FromBelow,not_ugly,ppt_47
FromBelow,ugly,ppt_48
FromBelow,ugly,ppt_48
Level,not_ugly,ppt_48
Level,ugly,ppt_48
FromBelow,ugly,ppt_48
FromBelow,not_ugly,ppt_48
Level,not_ugly,ppt_48
Level,not_ugly,ppt_48
FromBelow,ugly,ppt_48
FromBelow,ugly,ppt_48
Level,ugly,ppt_48
Level,not_ugly,ppt_48
Level,ugly,ppt_48
Level,not_ugly,ppt_48
FromBelow,not_ugly,ppt_48
FromBelow,ugly,ppt_48
FromBelow,ugly,ppt_49
FromBelow,ugly,ppt_49
Level,not_ugly,ppt_49
Level,not_ugly,ppt_49
FromBelow,ugly,ppt_49
FromBelow,ugly,ppt_49
Level,not_ugly,ppt_49
Level,not_ugly,ppt_49
FromBelow,ugly,ppt_49
FromBelow,ugly,ppt_49
Level,ugly,ppt_49
Level,not_ugly,ppt_49
Level,ugly,ppt_49
Level,not_ugly,ppt_49
FromBelow,ugly,ppt_49
FromBelow,ugly,ppt_49
FromBelow,ugly,ppt_50
FromBelow,ugly,ppt_50
Level,ugly,ppt_50
Level,ugly,ppt_50
FromBelow,ugly,ppt_50
FromBelow,ugly,ppt_50
Level,ugly,ppt_50
Level,ugly,ppt_50
FromBelow,ugly,ppt_50
FromBelow,ugly,ppt_50
Level,ugly,ppt_50
Level,ugly,ppt_50
Level,ugly,ppt_50
Level,ugly,ppt_50
FromBelow,ugly,ppt_50
FromBelow,ugly,ppt_50
FromBelow,not_ugly,ppt_51
FromBelow,not_ugly,ppt_51
Level,ugly,ppt_51
Level,not_ugly,ppt_51
FromBelow,ugly,ppt_51
FromBelow,not_ugly,ppt_51
Level,ugly,ppt_51
Level,ugly,ppt_51
FromBelow,not_ugly,ppt_51
FromBelow,not_ugly,ppt_51
Level,not_ugly,ppt_51
Level,not_ugly,ppt_51
Level,ugly,ppt_51
Level,not_ugly,ppt_51
FromBelow,ugly,ppt_51
FromBelow,ugly,ppt_51
FromBelow,ugly,ppt_52
FromBelow,ugly,ppt_52
Level,ugly,ppt_52
Level,ugly,ppt_52
FromBelow,ugly,ppt_52
FromBelow,not_ugly,ppt_52
Level,not_ugly,ppt_52
Level,not_ugly,ppt_52
FromBelow,not_ugly,ppt_52
FromBelow,not_ugly,ppt_52
Level,not_ugly,ppt_52
Level,not_ugly,ppt_52
Level,not_ugly,ppt_52
Level,not_ugly,ppt_52
FromBelow,not_ugly,ppt_52
FromBelow,not_ugly,ppt_52
FromBelow,ugly,ppt_53
FromBelow,ugly,ppt_53
Level,ugly,ppt_53
Level,not_ugly,ppt_53
FromBelow,ugly,ppt_53
FromBelow,not_ugly,ppt_53
Level,not_ugly,ppt_53
Level,ugly,ppt_53
FromBelow,ugly,ppt_53
FromBelow,ugly,ppt_53
Level,ugly,ppt_53
Level,ugly,ppt_53
Level,ugly,ppt_53
Level,ugly,ppt_53
FromBelow,ugly,ppt_53
FromBelow,ugly,ppt_53
FromBelow,ugly,ppt_54
FromBelow,ugly,ppt_54
Level,ugly,ppt_54
Level,ugly,ppt_54
FromBelow,ugly,ppt_54
FromBelow,ugly,ppt_54
Level,ugly,ppt_54
Level,ugly,ppt_54
FromBelow,ugly,ppt_54
FromBelow,ugly,ppt_54
Level,ugly,ppt_54
Level,ugly,ppt_54
Level,ugly,ppt_54
Level,ugly,ppt_54
FromBelow,ugly,ppt_54
FromBelow,ugly,ppt_54
FromBelow,ugly,ppt_55
FromBelow,ugly,ppt_55
Level,not_ugly,ppt_55
Level,not_ugly,ppt_55
FromBelow,not_ugly,ppt_55
FromBelow,not_ugly,ppt_55
Level,not_ugly,ppt_55
Level,not_ugly,ppt_55
FromBelow,ugly,ppt_55
FromBelow,ugly,ppt_55
Level,not_ugly,ppt_55
Level,not_ugly,ppt_55
Level,not_ugly,ppt_55
Level,not_ugly,ppt_55
FromBelow,not_ugly,ppt_55
FromBelow,not_ugly,ppt_55
FromBelow,ugly,ppt_56
FromBelow,ugly,ppt_56
Level,ugly,ppt_56
Level,ugly,ppt_56
FromBelow,ugly,ppt_56
FromBelow,ugly,ppt_56
Level,not_ugly,ppt_56
Level,ugly,ppt_56
FromBelow,ugly,ppt_56
FromBelow,ugly,ppt_56
Level,ugly,ppt_56
Level,ugly,ppt_56
Level,ugly,ppt_56
Level,not_ugly,ppt_56
FromBelow,ugly,ppt_56
FromBelow,ugly,ppt_56
FromBelow,ugly,ppt_57
FromBelow,ugly,ppt_57
Level,not_ugly,ppt_57
Level,not_ugly,ppt_57
FromBelow,not_ugly,ppt_57
FromBelow,not_ugly,ppt_57
Level,not_ugly,ppt_57
Level,not_ugly,ppt_57
FromBelow,ugly,ppt_57
FromBelow,ugly,ppt_57
Level,not_ugly,ppt_57
