Speaker,Modality,Verb,SemanticClass,LengthOfRecipient,AnimacyOfRec,DefinOfRec,PronomOfRec,LengthOfTheme,AnimacyOfTheme,DefinOfTheme,PronomOfTheme,RealizationOfRecipient,AccessOfRec,AccessOfTheme
NA,written,give,a,1,animate,indefinite,nonpronominal,11,inanimate,definite,nonpronominal,NP,accessible,new
NA,written,give,a,2,animate,definite,nonpronominal,14,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,indefinite,nonpronominal,4,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,cost,p,3,animate,indefinite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,offer,a,4,animate,indefinite,nonpronominal,5,inanimate,definite,nonpronominal,NP,accessible,accessible
NA,written,give,a,3,animate,definite,nonpronominal,10,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,pronominal,9,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,t,9,animate,indefinite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,give,a,4,animate,definite,nonpronominal,3,animate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,definite,nonpronominal,11,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,send,t,2,animate,definite,nonpronominal,10,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,pay,t,1,animate,definite,nonpronominal,8,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,nonpronominal,13,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,owe,a,1,animate,definite,nonpronominal,7,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,loan,t,1,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,award,t,1,animate,definite,pronominal,3,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,2,animate,definite,nonpronominal,12,inanimate,definite,nonpronominal,NP,given,new
NA,written,give,a,2,inanimate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,2,animate,indefinite,nonpronominal,32,inanimate,definite,nonpronominal,NP,accessible,accessible
NA,written,give,a,2,animate,indefinite,nonpronominal,12,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,give,a,2,animate,definite,nonpronominal,7,inanimate,definite,nonpronominal,NP,given,new
NA,written,pay,t,2,inanimate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,pay,t,5,animate,indefinite,nonpronominal,6,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,give,a,2,animate,definite,nonpronominal,6,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,inanimate,definite,pronominal,3,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,pronominal,17,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,pronominal,15,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,indefinite,nonpronominal,10,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,award,t,3,animate,indefinite,nonpronominal,9,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,owe,a,2,animate,definite,nonpronominal,12,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,do,a,1,animate,definite,pronominal,2,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,do,a,1,animate,definite,pronominal,3,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,allow,a,1,animate,indefinite,nonpronominal,6,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,a,2,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,offer,a,1,animate,indefinite,nonpronominal,4,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,c,2,animate,indefinite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,t,1,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,nonpronominal,8,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,send,t,4,animate,definite,nonpronominal,21,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,cost,p,1,animate,indefinite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,give,a,2,animate,definite,nonpronominal,8,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,pay,t,1,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,indefinite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,give,a,2,animate,definite,nonpronominal,8,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,4,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,a,6,animate,indefinite,nonpronominal,24,inanimate,indefinite,nonpronominal,NP,new,accessible
NA,written,give,a,1,animate,definite,nonpronominal,6,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,indefinite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,definite,nonpronominal,11,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,definite,nonpronominal,18,animate,indefinite,nonpronominal,NP,given,given
NA,written,teach,a,1,animate,indefinite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,bet,f,2,animate,definite,nonpronominal,1,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,tell,a,1,animate,definite,pronominal,1,inanimate,indefinite,pronominal,NP,given,accessible
NA,written,give,a,14,animate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,tell,a,1,animate,definite,pronominal,4,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,grant,a,3,animate,definite,nonpronominal,14,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,t,1,animate,definite,pronominal,2,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,pronominal,10,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,offer,a,1,animate,indefinite,nonpronominal,11,inanimate,definite,nonpronominal,NP,given,new
NA,written,deliver,a,2,animate,definite,nonpronominal,6,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,indefinite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,give,a,1,animate,definite,pronominal,2,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,pronominal,7,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,definite,nonpronominal,11,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,cost,p,1,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,2,animate,definite,nonpronominal,14,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,pay,t,3,animate,definite,nonpronominal,7,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,pay,t,2,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,a,2,inanimate,indefinite,nonpronominal,3,inanimate,definite,nonpronominal,NP,accessible,accessible
NA,written,give,a,1,animate,definite,pronominal,5,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,pay,t,1,animate,indefinite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,cost,p,1,animate,definite,pronominal,4,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,pay,t,1,animate,indefinite,nonpronominal,33,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,pronominal,5,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,lend,t,2,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,nonpronominal,8,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,pronominal,13,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,definite,nonpronominal,7,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,give,a,2,animate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,cost,p,1,animate,definite,nonpronominal,10,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,2,animate,definite,nonpronominal,6,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,give,a,2,inanimate,definite,nonpronominal,38,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,allow,a,1,animate,indefinite,nonpronominal,17,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,a,1,animate,definite,pronominal,2,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,inanimate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,leave,a,1,animate,definite,pronominal,7,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,pronominal,6,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,pronominal,6,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,nonpronominal,19,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,extend,t,2,animate,definite,nonpronominal,19,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,offer,a,7,animate,definite,nonpronominal,5,inanimate,definite,nonpronominal,NP,new,accessible
NA,written,give,a,1,animate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,3,inanimate,definite,nonpronominal,14,animate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,indefinite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,give,a,2,animate,definite,nonpronominal,12,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,promise,a,1,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,leave,a,2,animate,definite,nonpronominal,4,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,grant,a,5,animate,definite,nonpronominal,9,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,pronominal,2,inanimate,definite,nonpronominal,NP,given,given
NA,written,give,a,1,animate,definite,pronominal,2,inanimate,definite,nonpronominal,NP,given,given
NA,written,give,a,2,animate,indefinite,nonpronominal,11,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,cost,p,5,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,pronominal,9,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,4,animate,definite,nonpronominal,10,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,t,3,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,tell,a,3,animate,indefinite,nonpronominal,1,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,give,a,1,inanimate,definite,pronominal,1,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,offer,t,2,animate,indefinite,nonpronominal,4,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,cost,p,2,animate,definite,nonpronominal,4,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,2,inanimate,definite,nonpronominal,17,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,2,inanimate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,2,inanimate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,award,a,3,animate,definite,nonpronominal,13,inanimate,definite,nonpronominal,NP,new,new
NA,written,give,a,2,animate,definite,nonpronominal,27,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,2,animate,indefinite,nonpronominal,4,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,offer,a,1,animate,indefinite,nonpronominal,6,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,extend,a,3,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,pronominal,8,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,guarantee,a,1,animate,indefinite,nonpronominal,6,inanimate,definite,nonpronominal,NP,accessible,accessible
NA,written,give,c,1,animate,definite,pronominal,11,inanimate,definite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,pronominal,1,inanimate,definite,pronominal,NP,given,given
NA,written,give,a,2,animate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,pronominal,7,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,lend,t,2,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,owe,f,1,animate,indefinite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,a,1,animate,indefinite,nonpronominal,21,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,pronominal,5,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,grant,a,5,animate,definite,nonpronominal,11,inanimate,definite,nonpronominal,NP,new,new
NA,written,give,a,2,animate,definite,nonpronominal,19,inanimate,definite,nonpronominal,NP,given,given
NA,written,award,a,2,animate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,charge,p,1,animate,indefinite,nonpronominal,1,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,c,4,animate,indefinite,nonpronominal,16,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,give,a,2,inanimate,definite,nonpronominal,9,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,inanimate,definite,pronominal,2,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,definite,nonpronominal,13,inanimate,definite,nonpronominal,NP,given,new
NA,written,give,a,5,animate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,c,1,animate,definite,pronominal,5,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,2,inanimate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,new,accessible
NA,written,allow,a,2,inanimate,definite,nonpronominal,8,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,reimburse,t,1,animate,definite,pronominal,5,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,5,animate,definite,nonpronominal,11,inanimate,indefinite,nonpronominal,NP,new,accessible
NA,written,deny,p,1,animate,definite,pronominal,9,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,nonpronominal,22,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,tell,a,1,animate,definite,pronominal,26,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,award,a,3,animate,definite,nonpronominal,16,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,give,a,2,animate,indefinite,nonpronominal,25,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,give,a,2,animate,definite,nonpronominal,20,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,offer,a,1,animate,definite,pronominal,11,inanimate,definite,nonpronominal,NP,given,new
NA,written,pay,t,1,animate,definite,pronominal,5,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,4,animate,definite,nonpronominal,7,inanimate,indefinite,nonpronominal,NP,new,accessible
NA,written,give,a,2,animate,definite,nonpronominal,15,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,definite,nonpronominal,13,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,pay,t,1,animate,definite,nonpronominal,4,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,cost,p,2,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,pay,t,2,animate,definite,nonpronominal,11,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,give,a,6,animate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,give,a,1,animate,definite,pronominal,5,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,inanimate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,definite,nonpronominal,10,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,allow,a,3,animate,definite,nonpronominal,6,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,owe,f,1,animate,definite,pronominal,5,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,pronominal,23,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,pay,t,1,animate,indefinite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,grant,t,1,animate,indefinite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,indefinite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,7,animate,definite,nonpronominal,12,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,give,a,3,animate,definite,nonpronominal,21,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,give,a,3,animate,definite,nonpronominal,6,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,2,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,t,1,animate,definite,pronominal,1,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,pay,t,1,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,cost,p,1,animate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,award,t,6,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,give,a,5,animate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,pay,t,1,animate,indefinite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,a,1,animate,definite,pronominal,7,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,5,inanimate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,give,a,1,animate,indefinite,nonpronominal,13,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,3,animate,definite,nonpronominal,30,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,a,11,animate,definite,nonpronominal,4,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,give,a,2,animate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,indefinite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,pay,t,1,animate,definite,pronominal,1,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,lend,t,1,animate,definite,pronominal,1,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,indefinite,nonpronominal,6,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,give,a,1,animate,definite,pronominal,23,inanimate,indefinite,nonpronominal,NP,given,given
NA,written,give,a,1,animate,definite,pronominal,7,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,accord,a,3,animate,indefinite,nonpronominal,5,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,indefinite,nonpronominal,9,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,a,2,animate,indefinite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,will,f,2,animate,definite,nonpronominal,2,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,wish,a,1,animate,definite,pronominal,3,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,pay,t,1,animate,definite,nonpronominal,12,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,offer,a,1,animate,indefinite,nonpronominal,13,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,offer,a,1,animate,indefinite,nonpronominal,7,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,pay,t,2,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,give,a,2,animate,definite,nonpronominal,4,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,pronominal,17,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,indefinite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,2,inanimate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,deny,p,3,animate,definite,nonpronominal,8,inanimate,definite,nonpronominal,NP,accessible,new
NA,written,give,a,4,animate,definite,nonpronominal,8,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,t,1,animate,definite,pronominal,13,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,assure,a,1,animate,indefinite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,give,a,1,animate,indefinite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,cost,p,3,animate,definite,nonpronominal,4,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,t,1,animate,definite,pronominal,11,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,offer,a,1,animate,indefinite,nonpronominal,9,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,offer,a,1,animate,indefinite,nonpronominal,18,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,offer,a,1,animate,indefinite,nonpronominal,13,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,offer,a,1,animate,indefinite,nonpronominal,12,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,pronominal,6,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,allow,a,2,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,accessible,new
